,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
2,(1.5104156479217604e-7,7.67504424778761e-7),(2.8672661870503596e-7,1.5027e-6),(5.446436170212766e-7,3.002875e-6),(1.1845999999999998e-6,6.0222e-6),(2.4272222222222222e-6,1.2022e-5),(6.3974e-6,2.4182e-5),(1.6087e-5,4.8466e-5),(3.3643e-5,9.7057e-5),(6.8718e-5,0.000195404),(0.000139818,0.000399186),(0.000446112,0.000866222)
4,(2.9548854961832064e-7,5.62427027027027e-7),(5.631351351351351e-7,1.1332e-6),(1.077e-6,2.2934444444444443e-6),(2.2903333333333333e-6,4.531142857142857e-6),(4.824857142857143e-6,9.125e-6),(1.3195e-5,1.8712e-5),(3.0737e-5,3.7347e-5),(6.2782e-5,7.4875e-5),(0.000125434,0.000151469),(0.000256491,0.000302673),(0.000916882,0.000686074)
8,(5.800329670329671e-7,5.382698412698414e-7),(1.1463e-6,1.054e-6),(2.1313333333333337e-6,2.1204444444444445e-6),(4.4711428571428565e-6,4.289714285714285e-6),(9.677e-6,8.594333333333333e-6),(2.5302e-5,1.7549e-5),(6.0293e-5,3.5593e-5),(0.000125743,7.0573e-5),(0.000250891,0.000142122),(0.000527781,0.000285787),(0.001927952,0.000653784)
16,(1.1484e-6,5.918770949720671e-7),(2.222e-6,1.1140999999999998e-6),(4.24e-6,2.283888888888889e-6),(1.0153e-5,4.217428571428572e-6),(1.9891e-5,8.611333333333333e-6),(4.978e-5,1.7408e-5),(0.000122585,3.5202e-5),(0.000251488,7.0854e-5),(0.000501336,0.000142475),(0.00105087,0.000287054),(0.004004947,0.000648138)
32,(2.2843333333333333e-6,5.290631578947368e-7),(4.427285714285715e-6,1.0323e-6),(8.469666666666666e-6,2.1295555555555555e-6),(1.7389e-5,4.259571428571429e-6),(3.7678e-5,8.646666666666666e-6),(9.2199e-5,1.7496e-5),(0.000249344,3.5836e-5),(0.000502813,7.4546e-5),(0.001003698,0.000150691),(0.002084428,0.000286559),(0.008439082,0.000659149)
64,(4.558571428571429e-6,5.275684210526316e-7),(8.859666666666666e-6,1.0397e-6),(1.7343e-5,2.195444444444444e-6),(4.0243e-5,4.157285714285715e-6),(7.2176e-5,8.605e-6),(0.0001939,1.7372e-5),(0.000490287,3.5164e-5),(0.001005411,7.0401e-5),(0.002009952,0.000142167),(0.0043887,0.00028803),(0.017208793,0.000651752)
128,(9.111e-6,5.307631578947369e-7),(1.7698e-5,1.1755e-6),(3.3759e-5,2.0873333333333333e-6),(6.9807e-5,4.372e-6),(0.000141508,8.475333333333333e-6),(0.000473028,1.7882e-5),(0.001218964,3.5641e-5),(0.002521889,7.2289e-5),(0.00418668,0.000141853),(0.008810261,0.00028784),(0.036134084,0.000660365)
256,(1.8658e-5,5.291648936170212e-7),(3.5344e-5,1.0452e-6),(6.745e-5,2.3563333333333336e-6),(0.000139611,4.281571428571429e-6),(0.000288491,8.725666666666667e-6),(0.000844295,1.7954e-5),(0.00196948,3.5069e-5),(0.004075676,7.0932e-5),(0.008111629,0.000143289),(0.018137461,0.000286116),(0.06949241,0.000649951)
512,(3.6396e-5,5.477074468085107e-7),(7.0636e-5,1.0605e-6),(0.000134794,2.0672222222222223e-6),(0.000283406,4.170142857142857e-6),(0.000567365,8.318333333333335e-6),(0.001587506,1.6767e-5),(0.00392942,3.5097e-5),(0.008965973,6.9865e-5),(0.01812515,0.000140529),(0.040945529,0.000286712),(0.146454792,0.000652133)
1024,(7.275e-5,5.805219780219781e-7),(0.000141331,1.1657000000000001e-6),(0.000269527,2.1761111111111112e-6),(0.000568864,4.124428571428572e-6),(0.001268915,8.426e-6),(0.003441291,1.749e-5),(0.008552898,3.4321e-5),(0.017990245,6.9819e-5),(0.036656706,0.000138955),(0.079742473,0.000280384),(0.305168636,0.000631084)
